userID,genre1
747,Drama
747,Animation
747,Comedy
747,Adventure
747,Comedy
747,Comedy
747,Animation
747,Comedy
747,Drama
747,Children's
747,Action
4439,Drama
4439,Crime
4439,Action
4439,Action
4439,Action
4439,Action
4439,Action
4439,Action
4439,Drama
4439,Action
4439,Drama
4439,Action
4439,Comedy
4439,Comedy
4439,Action
4439,Drama
4439,Action
4439,Comedy
4439,Drama
4439,Comedy
5974,Comedy
5974,Comedy
5974,Action
5974,Action
5974,Action
5974,Action
5974,Drama
5974,Comedy
5974,Comedy
4572,Action
4572,Action
4572,Action
4572,Drama
4572,Action
4572,Action
2795,Crime
2795,Action
2795,Action
2795,Action
2795,Comedy
2795,Crime
2795,Crime
2795,Action
2795,Action
2795,Comedy
2795,Drama
2795,Action
2795,Action
2795,Comedy
2795,Comedy
2795,Drama
2795,Action
2795,Drama
2795,Comedy
2795,Adventure
2795,Drama
2795,Comedy
2795,Comedy
2795,Action
698,Action
698,Action
698,Children's
698,Comedy
698,Comedy
698,Comedy
698,Musical
698,Comedy
698,Comedy
5286,Action
5286,Action
5286,Action
5286,Action
5286,Action
5286,Action
5286,Action
5286,Comedy
5286,Action
5286,Action
1862,Crime
1862,Drama
1862,Action
1862,Action
1862,Action
1862,Action
1862,Action
1862,Drama
1862,Drama
1862,Drama
1862,Drama
1862,Drama
1862,Action
1862,Comedy
1862,Action
1862,Drama
1762,Crime
1762,Drama
1762,Action
1762,Animation
1762,Crime
1762,Crime
1762,Action
1762,Drama
1762,Drama
1762,Action
1762,Comedy
1762,Comedy
1762,Comedy
1762,Comedy
1762,Comedy
1762,Action
1762,Action
3073,Comedy
3073,Action
3073,Action
3073,Comedy
3073,Drama
3073,Drama
3073,Horror
3073,Action
3073,Comedy
3073,Drama
3073,Drama
3073,Adventure
3073,Film-Noir
3073,Drama
3073,Animation
3073,Comedy
3073,Adventure
3073,Comedy
3073,Comedy
3073,Comedy
3073,Comedy
3073,Comedy
3073,Adventure
3073,Action
3073,Action
3073,Comedy
3073,Children's
3073,Comedy
3073,Action
3073,Children's
3073,Action
3073,Action
3073,Action
3073,Drama
3073,Comedy
3073,Drama
3073,Comedy
3073,Animation
3073,Romance
